time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-08T22:20:42.040Z,34.1882,26.2303,15.48,4.7,mb,,115,1.556,0.82,us,us20002n4f,2015-06-09T06:23:18.495Z,"97km SSE of Makry Gialos, Greece",earthquake
2015-06-08T22:08:10.600Z,35.0661667,-118.3568333,8.28,2.53,ml,55,26,0.07643,0.12,ci,ci37395840,2015-06-09T04:24:37.026Z,"11km SE of Tehachapi, California",earthquake
2015-06-08T21:36:58.830Z,36.2839,-97.5377,3,3.9,mwr,,32,0.421,0.36,us,us20002n3y,2015-06-08T23:38:34.612Z,"22km W of Perry, Oklahoma",earthquake
2015-06-08T21:03:20.080Z,40.7155,-116.3139,5,2.7,ml,,37,0.817,0.84,us,us20002n3p,2015-06-09T05:06:01.042Z,"17km W of Carlin, Nevada",earthquake
2015-06-08T20:44:07.580Z,36.21,140.0649,60.61,4.5,mb,,105,0.103,1.2,us,us20002n3b,2015-06-10T13:58:33.173Z,"3km WNW of Tsukuba, Japan",earthquake
2015-06-08T18:43:13.800Z,35.676,-97.3954,5,2.5,ml,,66,,0.53,us,us20002n1z,2015-06-09T02:45:46.011Z,"7km ENE of Edmond, Oklahoma",earthquake
2015-06-08T18:23:24.800Z,35.6716,-97.3957,6.602,2.8,ml,,71,,0.5,us,us20002n1a,2015-06-08T23:23:22.375Z,"7km ENE of Edmond, Oklahoma",earthquake
2015-06-08T15:33:15.100Z,19.1275,-66.536,55,3.1,Md,6,291.6,0.646787,0.09,pr,pr15159003,2015-06-08T23:35:53.737Z,"73km N of Tierras Nuevas Poniente, Puerto Rico",earthquake
2015-06-08T15:28:32.400Z,36.1305,-117.8561667,2.9,2.94,ml,39,38,0.1256,0.12,ci,ci37395552,2015-06-08T22:55:20.280Z,"13km NE of Coso Junction, California",earthquake
2015-06-08T15:08:27.200Z,36.4233,-97.7738,6.263,2.5,ml,,98,,0.26,us,us20002mzw,2015-06-08T19:19:51.879Z,"9km ENE of Enid, Oklahoma",earthquake
2015-06-08T15:01:04.540Z,-15.2654,-173.0783,22.41,5.3,mb,,41,1.844,0.76,us,us20002mxy,2015-06-08T23:03:48.962Z,"104km NE of Hihifo, Tonga",earthquake
2015-06-08T14:53:04.000Z,62.2228,-150.695,72.4,2.6,ml,,,,0.75,ak,ak11620172,2015-06-08T22:55:38.847Z,"32km WSW of Talkeetna, Alaska",earthquake
2015-06-08T14:48:03.300Z,36.4222,-97.774,5.552,2.8,ml,,126,,0.26,us,us20002myq,2015-06-08T17:05:08.336Z,"9km ENE of Enid, Oklahoma",earthquake
2015-06-08T14:10:21.030Z,12.9887,145.6885,35,4.8,mb,,169,0.997,0.68,us,us20002mxh,2015-06-08T22:13:04.693Z,"105km SE of Yigo Village, Guam",earthquake
2015-06-08T14:04:58.250Z,13.0259,146.0826,45.07,4.9,mb,,94,1.307,0.87,us,us20002mxg,2015-06-08T22:07:26.629Z,"140km ESE of Yigo Mayor's Office, Guam",earthquake
2015-06-08T13:49:47.300Z,18.5778,-68.7734,183,4.1,Md,21,169.2,0.37729242,0.18,pr,pr15159002,2015-06-08T21:52:29.149Z,"8km WSW of Salvaleon de Higuey, Dominican Republic",earthquake
2015-06-08T13:35:54.320Z,-5.9787,130.5954,139.25,4.3,mb,,131,2.109,0.25,us,us20002mx6,2015-06-08T21:38:31.952Z,"232km NNW of Saumlaki, Indonesia",earthquake
2015-06-08T13:24:23.470Z,46.2695,151.8961,65.21,4.7,mb,,132,6.331,0.56,us,us20002mx4,2015-06-08T21:26:56.267Z,"Kuril Islands",earthquake
2015-06-08T13:20:16.000Z,36.3916,-98.6607,4.027,3.9,ml,,130,,0.49,us,us20002mx0,2015-06-08T23:02:27.171Z,"21km NW of Fairview, Oklahoma",earthquake
2015-06-08T12:58:33.430Z,1.5219,-90.8522,10,4.8,mb,,161,2.253,0.99,us,us20002mwz,2015-06-08T21:01:13.242Z,"256km NNW of Puerto Ayora, Ecuador",earthquake
2015-06-08T11:37:58.760Z,1.5568,-90.8318,10,4.7,mb,,158,2.282,0.91,us,us20002mwp,2015-06-08T19:40:34.738Z,"259km NNW of Puerto Ayora, Ecuador",earthquake
